# number_density  energy_density  pressure   sound_speed_squared  [All in nuclear units]
2.720000000000000022e-14 2.529924618736292620e-11 1.061056609100270887e-19 3.766610435412189122e-08
1.269999999999999890e-13 1.181251617980081254e-10 4.870113551826584858e-18 6.497781477172163475e-08
6.929999999999999754e-13 6.445728594625782745e-10 1.018299070687946017e-16 3.033770597342807186e-07
6.295000000000000137e-12 5.855111460395753757e-09 5.487150723824490656e-15 1.763710043904196507e-06
1.581000000000000150e-11 1.470523320212576141e-08 2.904239460150760759e-14 3.559434472327477622e-06
3.971999999999999958e-11 3.694456170323160790e-08 1.439340266754906811e-13 6.772854871245677111e-06
9.975999999999999982e-11 9.278976412613005154e-08 6.812143616221268841e-13 1.246890511177539320e-05
2.505999999999999928e-10 2.330928829758143313e-07 3.107749196951638608e-12 2.212095130576091967e-05
6.294000000000000186e-10 5.854398883216247602e-07 1.363250409771533549e-11 3.761981047239428883e-05
1.581000000000000021e-09 1.470619631082054101e-06 5.726014178088476303e-11 6.095350986710739404e-05
3.971999999999999932e-09 3.694861084648016046e-06 2.210019573374265380e-10 8.628023653304385055e-05
5.000000000000000105e-09 4.651201787816927976e-06 3.071485916280120014e-10 9.387863480799757518e-05
9.975999999999999465e-09 9.280587964640925786e-06 8.385361004129998845e-10 1.356922228656245837e-04
1.989999999999999952e-08 1.851419242998081003e-05 2.287763168863418088e-09 1.782101978513718314e-04
3.972999999999999908e-08 3.696699295748789187e-05 6.061583099087538954e-09 2.308134738384234820e-04
7.925999999999999637e-08 7.375765469301719828e-05 1.575347858094044765e-08 2.960532096713864875e-04
1.580999999999999930e-07 1.471491184379128891e-04 3.910429618672550719e-08 3.402859755131850544e-04
1.991000000000000027e-07 1.853209783927820692e-04 5.252045687899177454e-08 3.626488188833278743e-04
3.155999999999999938e-07 2.938002528823880299e-04 9.730770378831954314e-08 4.630767356912104081e-04
5.000999999999999849e-07 4.656344063839075714e-04 1.837494945860225819e-07 5.430301232045120323e-04
6.295999999999999732e-07 5.862651417037388971e-04 2.503103884558263872e-07 5.605192962670089638e-04
9.666999999999999941e-07 9.003386739730535665e-04 4.324450868778576936e-07 5.993081670211623108e-04
1.531999999999999901e-06 1.427170885631398036e-03 7.780217275717420968e-07 7.125938556504039095e-04
2.506999999999999883e-06 2.336134972129507662e-03 1.471005394641589826e-06 8.121876172121876309e-04
3.974000000000000407e-06 3.704315759716615697e-03 2.695705763844323844e-06 9.780674166779417152e-04
4.830000000000000343e-06 4.502887798316278223e-03 3.503988717694660908e-06 1.046253037768318664e-03
6.080999999999999885e-06 5.670217999231269741e-03 4.731126407333307547e-06 1.056224360839501646e-03
7.930000000000000308e-06 7.396012414119570652e-03 6.599662989063778187e-06 1.109203753630785610e-03
9.982000000000000313e-06 9.311815711689977113e-03 8.879881089227186733e-06 1.271216815433141075e-03
1.256999999999999993e-05 1.172874412604260098e-02 1.207676739913533738e-05 1.374195438212825332e-03
1.521999999999999997e-05 1.420427250933824909e-02 1.547541302213394990e-05 1.371610497379100249e-03
1.991000000000000080e-05 1.858690797761085312e-02 2.160710455847765458e-05 1.426578142835871997e-03
2.506999999999999883e-05 2.341050104039446925e-02 2.908031724375689851e-05 1.672007475975408053e-03
2.790999999999999875e-05 2.606604784714952258e-02 3.357009132255487721e-05 1.709425557744154774e-03
3.806999999999999973e-05 3.556967988784798945e-02 4.986781576435106434e-05 1.720407281314112165e-03
5.063000000000000145e-05 4.732434580343149871e-02 7.073400252905581275e-05 1.829889149838781265e-03
6.592000000000000583e-05 6.164112392498975052e-02 9.765037643900635188e-05 1.930242980462695823e-03
8.433000000000000066e-05 7.888776783401378612e-02 1.317235490470395893e-04 2.021055815200022837e-03
1.062000000000000064e-04 9.938561165478684845e-02 1.740088341640037047e-04 2.104789529260958983e-03
1.321000000000000126e-04 1.236720406455826121e-01 2.260189757651373944e-04 2.178291718403657477e-03
1.623999999999999901e-04 1.520974545104751274e-01 2.888169908545388338e-04 2.240170365918073281e-03
1.689999999999999879e-04 1.582907717069566844e-01 3.027354772999506964e-04 2.254509350360745651e-03
1.758999999999999930e-04 1.647661861691531171e-01 3.173785841705756782e-04 2.268169273277113179e-03
1.830000000000000029e-04 1.714298948183871907e-01 3.325196584577469103e-04 2.276170334580628063e-03
1.901999999999999882e-04 1.781880600978280049e-01 3.479577791899843742e-04 2.292561569242367037e-03
1.977000000000000079e-04 1.852284385240466902e-01 3.641242634600037713e-04 2.299943765467868384e-03
2.054000000000000053e-04 1.924572004474696396e-01 3.808304060475003897e-04 2.322187632288155723e-03
2.079000000000000119e-04 1.948043378760714872e-01 3.864137987380476553e-04 2.435429768083530178e-03
2.081999999999999921e-04 1.950859988578999005e-01 3.870314100985603909e-04 1.950065624557156818e-03
2.090999999999999868e-04 1.959309855029948977e-01 3.881261957135444685e-04 6.411875526909013856e-04
2.159999999999999919e-04 2.024093317906446865e-01 3.940874488768042125e-04 1.199166870571831411e-03
2.231000000000000019e-04 2.090756740932291913e-01 4.013938420547467825e-04 9.928616047829054436e-04
2.311000000000000066e-04 2.165873044433437034e-01 4.085241694843774404e-04 9.056166966301716637e-04
2.401000000000000085e-04 2.250381721984245909e-01 4.159700687886608468e-04 8.565463878902855599e-04
2.500000000000000052e-04 2.343344406330727658e-01 4.237602369176299592e-04 8.194318812157330018e-04
2.642999999999999733e-04 2.477629128650125634e-01 4.345596643180389446e-04 7.890063723638815647e-04
3.052999999999999941e-04 2.862671839140227270e-01 4.644058706720978241e-04 7.612775562167708662e-04
